P1;P2;P3;P4;P5;P6;P7;S1
0;6;7;232;1;0;3;F
0;6;7;140;1;35;1;H
0;5;6;59;8;0;0;H
0;6;7;118;8;0;5;F
0;1;0;75;1;0;21;H
1985;6;7;226;8;70;10;H
1985;6;6;206;8;2;0;H
1981;6;2;97;8;70;8;F
1994;6;7;203;8;35;16;H
0;0;0;0;1;0;0;H
0;5;7;248;1;70;4;H
1996;5;7;94;8;0;1;H
1961;5;4;195;8;0;26;F
2019;2;4;137;8;35;2;F
2000;4;4;154;8;35;1;F
1969;6;7;243;8;70;15;H
1988;6;7;192;8;35;0;H
0;5;4;97;8;70;14;F
1966;6;7;228;8;35;17;H
1953;5;0;0;8;35;11;H
1999;6;7;162;8;35;0;F
0;0;0;58;8;0;0;H
2002;0;0;0;8;0;109;F
1967;0;2;67;8;0;50;F
0;6;7;155;1;0;0;H
1976;6;7;97;8;35;0;H
0;6;7;114;8;35;3;H
1986;6;3;275;8;0;6;H
1958;6;7;113;8;35;0;H
1968;5;7;113;8;0;0;F
2002;6;7;224;8;35;0;F
0;6;7;278;8;0;3;F
1940;6;6;183;8;0;41;H
1974;0;2;112;8;0;0;H
1985;3;4;223;8;0;0;H
1987;6;7;62;8;0;0;H
1983;6;5;174;8;49;20;H
0;6;7;180;8;0;26;H
0;0;0;0;1;0;5;H
0;3;3;225;8;0;5;H
0;6;7;151;1;0;2;H
2005;4;5;128;8;70;3;H
0;6;4;197;8;44;1;H
2007;6;7;22;8;0;1;H
2003;6;7;195;8;35;0;H
0;4;7;211;1;101;1;H
0;6;7;163;1;0;0;H
0;6;7;249;8;35;5;F
0;6;7;138;8;0;1;F
0;6;5;162;1;0;0;H
1953;5;6;239;8;35;2;F
1958;5;6;232;8;80;14;H
1968;5;7;333;8;0;51;H
0;6;7;252;1;0;0;H
0;6;7;202;1;0;2;H
0;6;7;377;1;35;113;F
1943;6;7;0;8;0;0;F
0;6;7;153;8;0;0;F
1964;6;7;148;8;84;4;H
1990;5;7;250;8;0;0;F
1950;4;1;146;8;0;57;F
0;5;6;138;1;35;3;H
1959;6;6;166;8;0;1;F
1997;3;2;54;8;36;2;H
2001;6;7;150;8;0;0;H
0;6;7;260;8;0;269;F
1974;6;7;203;8;0;6;F
1982;6;7;121;8;133;3;H
1997;2;2;231;8;35;0;H
1982;6;7;233;8;76;2;F
1991;4;5;137;8;0;157;F
0;2;4;64;1;35;0;F
0;1;0;0;1;0;0;H
0;4;6;110;1;44;0;H
1950;2;4;128;8;35;0;F
0;6;7;210;1;0;0;F
